"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
11.85,9.09,117,2,98.61,11.44,"Beta","database","alta","success"
13.46,11.13,137,1,99.91,7.38,"Delta","api","media","failed"
14.66,4.88,122,1,85.75,35.14,"Gamma","payments","alta","success"
17.27,5.61,103,0,71.81,6.87,"Beta","payments","media","success"
11.62,8.18,127,1,64.34,15.05,"Gamma","ui","crítica","success"
12.79,7.85,126,1,98.45,5.08,"Alpha","ui","crítica","rolled_back"
21.95,5.12,154,4,80.83,22.17,"Alpha","ui","alta","success"
13.72,3.62,102,5,77.38,9.94,"Beta","payments","media","success"
12.76,6.82,122,2,76.55,11.14,"Gamma","ui","alta","success"
6.63,12.11,124,1,63.69,10.78,"Beta","database","alta","success"
12.01,13.61,131,3,66.71,8.39,"Beta","ui","alta","success"
11.11,10.09,108,0,65.91,15.49,"Alpha","auth","baja","success"
11.96,3.95,115,0,63.26,4.22,"Gamma","payments","baja","success"
9.7,9.87,135,1,82.9,2.92,"Alpha","api","media","success"
9.25,6.65,124,2,87.57,18.93,"Delta","api","alta","success"
9.12,8.32,92,1,61.81,4.89,"Delta","ui","baja","success"
11.14,9.69,133,0,66.35,6.58,"Delta","database","media","success"
17.47,12.15,107,2,69.34,12.94,"Beta","api","media","success"
16.2,8.34,122,2,70.19,9.11,"Beta","ui","crítica","success"
10.56,6.24,135,0,78.73,16.17,"Beta","api","media","failed"
5.26,9.91,129,1,68.81,11.18,"Gamma","api","alta","success"
8.62,10.05,120,2,84.34,17.24,"Delta","api","baja","success"
10.17,10.26,113,4,69.74,15.32,"Delta","database","baja","success"
12.41,10.86,127,2,76.45,25.08,"Beta","auth","media","success"
9.35,8.72,108,2,87.28,9.23,"Beta","auth","media","success"
20.03,5.64,134,0,87.34,23.61,"Alpha","database","baja","success"
10.91,8.33,98,4,68.99,5.71,"Alpha","ui","alta","success"
7.14,3.59,125,1,82.66,13.9,"Gamma","ui","alta","success"
11.43,10.88,118,4,59.03,11.59,"Alpha","ui","media","success"
7.98,9.26,109,3,81.13,23.98,"Beta","payments","media","success"
12.62,9.76,111,3,77.59,11.3,"Beta","auth","baja","success"
12.93,8.4,111,0,81.91,23.47,"Gamma","auth","media","success"
13.42,2.02,133,2,77.53,12.48,"Beta","api","alta","success"
5.51,6.48,111,0,52.36,14.79,"Beta","auth","baja","success"
12.88,10.36,94,2,83.06,1.43,"Beta","database","alta","success"
13.24,7.32,120,2,62.97,25.53,"Beta","payments","baja","success"
6.32,10.09,138,0,76.06,7.78,"Gamma","ui","alta","success"
15.82,5.66,133,2,70.33,15.4,"Beta","database","alta","success"
15.14,8.65,131,2,80.97,42.47,"Alpha","database","baja","success"
21.2,6.63,108,1,86.64,9.28,"Beta","auth","media","success"
12.63,6.38,125,2,69.99,22.01,"Alpha","auth","baja","success"
12.19,7.54,97,3,72.41,27.54,"Delta","ui","media","success"
12.39,12.29,109,2,63.89,10.68,"Alpha","auth","baja","success"
12.28,8.43,102,3,55.84,10.39,"Alpha","database","media","success"
4.61,8.56,125,0,63.66,5.51,"Alpha","payments","crítica","success"
5.32,11.98,116,2,71.93,11.7,"Alpha","payments","alta","failed"
11.69,7.28,100,1,73.07,11.52,"Gamma","ui","media","success"
9.68,9.29,140,4,87.57,15.38,"Delta","ui","media","success"
12.22,6.19,119,2,73.63,9.32,"Alpha","ui","alta","success"
3.56,10.12,125,1,66.63,15.88,"Gamma","auth","baja","success"
6.01,4.63,114,2,73.59,6.27,"Alpha","api","alta","success"
7.59,7.86,115,0,76.44,4.67,"Delta","api","media","rolled_back"
15.94,10.82,118,2,81.29,9.15,"Delta","payments","crítica","success"
7.61,11.35,126,5,88.48,10.24,"Beta","auth","baja","success"
8.8,7.78,100,5,89.74,4.23,"Alpha","api","baja","success"
12.32,2.03,114,1,86.29,14.55,"Alpha","database","crítica","success"
10.71,12.11,123,0,51.29,6.12,"Beta","payments","media","success"
12.59,6.44,110,0,61.88,5.3,"Delta","auth","baja","success"
21.22,9.8,104,1,77.23,11.7,"Beta","api","media","success"
7.5,3.76,137,5,68.67,9.6,"Alpha","auth","alta","success"
10.78,6.88,113,3,64.76,5.1,"Alpha","payments","alta","success"
9.93,12.08,107,4,69.44,21.95,"Gamma","api","baja","success"
18.05,8.86,138,2,85.31,7.44,"Alpha","auth","media","success"
8.92,8.86,130,1,83.8,7.36,"Delta","auth","baja","success"
11.67,10.24,115,1,92.05,14.86,"Gamma","payments","baja","success"
15.15,4.59,108,1,77.83,6.81,"Alpha","api","baja","success"
7.77,8.08,137,0,62.32,20.73,"Gamma","database","media","rolled_back"
18.62,9.19,126,4,96.98,16.27,"Alpha","api","baja","success"
14.7,10.83,122,2,68.9,13.05,"Gamma","payments","alta","success"
7.7,5.98,149,2,79.71,7.56,"Gamma","ui","media","success"
13.82,8.59,132,2,77.77,10.8,"Alpha","payments","alta","success"
11.15,9.67,114,4,82.05,7.89,"Gamma","api","baja","failed"
13.25,17.29,123,0,64.68,9.6,"Alpha","auth","media","success"
11.64,11.97,122,5,59.94,20.75,"Gamma","payments","baja","success"
16.28,2.07,111,1,84.9,30.94,"Alpha","auth","alta","failed"
6.6,8.04,106,4,72.91,5.15,"Gamma","ui","media","success"
9.91,8.48,104,2,55.52,26.21,"Alpha","database","baja","success"
11,10.05,134,3,62.61,22.67,"Alpha","database","media","success"
8.02,6.25,117,1,84.17,21.85,"Beta","auth","crítica","success"
7.84,10.49,125,2,77.52,4.84,"Gamma","database","media","rolled_back"
11.93,6.27,91,3,67.04,5,"Alpha","database","alta","success"
11.47,7.74,121,1,85.38,19.76,"Beta","ui","crítica","success"
1.8,9.51,98,3,80.48,18.2,"Delta","payments","alta","success"
16.16,6.48,117,2,78.22,5.89,"Gamma","payments","baja","failed"
13,8.21,125,2,94.11,21.92,"Gamma","database","baja","success"
21.66,11.94,113,1,70.42,9.32,"Gamma","payments","media","success"
14.74,6.84,111,2,79.89,9.67,"Delta","ui","crítica","success"
10.21,5.1,140,2,96.35,11.1,"Alpha","ui","media","failed"
23.19,9.81,111,2,75.73,9.76,"Beta","payments","alta","success"
23.33,6.04,108,1,100,12.63,"Gamma","ui","baja","rolled_back"
7.13,7.33,130,3,80.4,13,"Alpha","auth","media","success"
13.88,9.27,115,2,81.16,7.44,"Alpha","auth","alta","success"
11.16,9.15,132,0,96.55,26.92,"Beta","ui","alta","success"
12.75,10.95,123,2,78.42,10.26,"Beta","payments","alta","success"
12.91,6.3,115,1,65.35,13.7,"Alpha","database","media","success"
6.95,7.2,138,0,58.29,27.04,"Delta","payments","baja","success"
13.14,6.35,113,1,72.17,9.1,"Beta","payments","crítica","success"
19,7.59,129,4,68.32,3.38,"Gamma","database","media","success"
11.34,12.97,120,3,69.41,2.67,"Alpha","database","crítica","rolled_back"
11.35,7.85,132,0,91.89,11.2,"Gamma","payments","media","success"
17.59,7.93,138,7,90.64,19.55,"Beta","api","media","success"
15.59,9.28,117,2,82.29,8.11,"Gamma","auth","media","success"
5.41,4.96,118,3,81.73,28.49,"Alpha","api","baja","success"
12.91,10.38,126,0,61.3,11.74,"Beta","database","media","success"
18.61,7.85,125,3,96.66,11.66,"Alpha","payments","alta","success"
17.66,6.24,109,2,79.5,6.73,"Gamma","payments","alta","success"
13.68,8.94,127,0,63.99,16.17,"Beta","auth","media","success"
14.88,7.54,124,2,94.67,13.58,"Delta","ui","baja","success"
7.21,7.62,137,0,97.19,16.94,"Beta","api","alta","success"
13.2,7.71,130,4,93.58,4.76,"Beta","api","alta","success"
8.18,11.87,125,1,83.55,27.54,"Gamma","api","baja","success"
10.17,6.62,98,3,65.93,18.12,"Delta","auth","crítica","success"
15.74,10.39,125,2,61.4,36.13,"Delta","payments","media","success"
7.45,8.41,125,0,96.62,7.9,"Beta","api","alta","success"
13.07,7.31,110,1,82.71,29.63,"Alpha","database","crítica","success"
13.71,6.39,122,1,73.79,11.33,"Gamma","ui","media","success"
12.22,7.08,115,3,69.63,3.06,"Beta","payments","media","success"
19.29,7.31,98,0,90.22,10.6,"Alpha","payments","crítica","success"
7.91,10.73,134,2,66.97,11.13,"Gamma","ui","baja","success"
14.42,6.05,137,4,90.37,1.6,"Alpha","api","alta","success"
11.64,12.11,116,0,91.02,11.89,"Gamma","payments","baja","failed"
10.96,7.57,115,5,75.49,16.41,"Delta","auth","alta","success"
13.86,6.37,117,1,83.83,6.15,"Delta","api","baja","rolled_back"
7.92,6.23,120,5,92.31,5.81,"Alpha","database","baja","success"
6.75,8.47,113,1,83.62,23.83,"Beta","api","alta","success"
10.02,12.37,116,3,79.12,24.85,"Beta","api","media","failed"
19.01,7.44,124,2,62.13,10.66,"Alpha","database","media","success"
12.22,7.76,111,1,71.54,4.63,"Beta","auth","baja","success"
13.33,8.51,112,4,85.6,15.97,"Delta","auth","media","success"
11.24,8.16,112,4,69.35,22.95,"Alpha","api","media","success"
13.88,6.15,115,1,95.4,9.31,"Delta","payments","alta","success"
8.19,10.47,126,2,100,12.89,"Beta","ui","media","failed"
16.63,4.92,140,4,74.81,9.68,"Alpha","payments","alta","success"
14.34,5.55,126,3,82.68,12.86,"Alpha","ui","media","failed"
8.77,6.96,119,1,82.51,7.74,"Delta","database","alta","success"
12.22,7.3,105,4,76.79,14.97,"Beta","auth","media","rolled_back"
14.87,10.64,112,1,79.96,3.17,"Beta","api","alta","success"
14.23,6.44,134,5,74.59,16.72,"Gamma","api","baja","success"
17.93,7.55,142,2,65.05,17.32,"Alpha","database","alta","success"
9.55,7.17,109,4,93.02,5.02,"Gamma","payments","media","success"
16.46,12.01,138,2,84.57,2.53,"Delta","api","media","success"
16.15,11.62,117,0,70.07,5.1,"Alpha","auth","baja","success"
11.35,5.35,130,6,78.87,9.22,"Beta","ui","baja","success"
8.1,9.09,128,2,84.4,18.48,"Delta","auth","alta","success"
7.64,4.76,119,0,57.04,8.25,"Gamma","api","baja","success"
13.83,5.93,110,0,79.31,4.32,"Gamma","payments","alta","success"
11.72,6.55,120,2,63.14,9.58,"Alpha","ui","baja","success"
19.12,5.88,107,3,72.61,8.52,"Beta","database","alta","success"
14.14,8.57,128,4,58.85,22.92,"Alpha","auth","media","failed"
10.51,7.22,128,2,58.44,14.39,"Delta","auth","media","success"
7.9,8.77,124,2,52.11,6.2,"Delta","auth","baja","rolled_back"
9.67,11.07,113,1,85.77,15.44,"Alpha","api","media","success"
13.37,10.93,117,2,100,24.48,"Gamma","database","media","success"
10.2,2.82,108,1,92,10.61,"Gamma","ui","baja","success"
14.06,7.36,134,3,66.81,3.64,"Beta","auth","baja","success"
10.66,9.19,129,4,69.61,10.26,"Beta","payments","alta","success"
11.58,10.91,122,1,92.71,5.75,"Beta","ui","baja","failed"
9.08,6.57,105,1,53.87,7.3,"Gamma","database","alta","success"
19.62,8.32,104,2,71.12,5.04,"Gamma","auth","alta","success"
13.33,12.08,126,4,75.27,13.56,"Alpha","api","alta","failed"
12.92,8.5,128,5,57.91,10.87,"Alpha","payments","media","success"
5.23,12.69,121,1,96.49,9.86,"Gamma","auth","media","success"
14.64,2.46,127,2,83.06,2.24,"Gamma","auth","alta","failed"
7.91,13.08,121,3,92.28,9.93,"Gamma","api","crítica","success"
8.43,2.06,132,2,73.89,6.83,"Alpha","api","crítica","success"
15.67,10.83,126,3,79.26,12.14,"Alpha","database","baja","success"
10.19,10.66,127,0,81.26,5.38,"Gamma","auth","baja","failed"
5.01,7.05,127,0,95.68,23.7,"Delta","database","alta","success"
19.08,7.17,116,1,96.93,21.47,"Alpha","payments","crítica","success"
2.49,8.89,115,2,70.53,5.11,"Beta","ui","alta","success"
14.29,8.42,124,1,91.21,4.27,"Delta","payments","media","success"
16.07,8.6,109,4,83.77,25.58,"Alpha","ui","alta","success"
9.48,11.29,123,1,88.16,2.16,"Beta","database","baja","success"
13.78,8.57,120,4,61.12,14.21,"Beta","payments","baja","failed"
13.76,2.84,136,2,74.77,10.64,"Beta","auth","alta","success"
16.16,9.04,140,1,94.4,6.18,"Gamma","api","media","success"
13.94,7.19,148,3,79.65,3.44,"Delta","payments","media","success"
11.02,10.11,127,4,79.04,8.46,"Delta","api","alta","success"
15.66,5.81,127,0,70.57,8.4,"Delta","database","media","failed"
15.2,7.37,121,3,91,2.84,"Gamma","auth","baja","success"
8.25,4.16,120,1,78.64,7.53,"Gamma","api","baja","success"
6.4,4.29,124,3,79.98,21.27,"Gamma","ui","media","success"
12.64,3.64,116,0,69.09,13.38,"Delta","auth","media","success"
10.9,8.06,118,1,92.17,11.07,"Delta","payments","alta","success"
8.06,1.15,112,2,78.42,14.16,"Alpha","auth","baja","success"
12.34,11.14,123,0,91.91,28.15,"Alpha","database","crítica","success"
6.72,6.37,128,4,77.04,12.05,"Gamma","api","media","success"
12.64,8.04,106,1,78.75,9.26,"Gamma","payments","media","success"
9.5,11,100,2,80.22,16.56,"Gamma","database","alta","success"
15.83,8.75,118,1,72.37,14.42,"Beta","database","alta","success"
21.7,9.05,134,2,54.78,2.62,"Delta","database","alta","failed"
8.34,6.41,131,5,68.86,8.17,"Gamma","payments","media","success"
16.23,4.76,128,1,67.73,8.75,"Gamma","api","media","success"
15.3,9.6,141,3,74.69,20.4,"Gamma","auth","alta","success"
11.72,7.49,139,0,66.77,0.77,"Delta","auth","media","failed"
10.19,8,116,2,75.99,5.82,"Delta","ui","media","success"
18.3,5.94,105,2,77.03,18.88,"Gamma","api","alta","success"
3.98,6.61,122,3,97.35,6.56,"Beta","database","crítica","success"
9.43,2.27,131,0,75.55,9.34,"Delta","auth","alta","success"
6.25,3.87,115,1,100,3.95,"Beta","database","media","success"
17.58,4.07,91,1,78.99,11.88,"Alpha","database","alta","success"
11.24,7.55,121,2,79.02,19.24,"Beta","auth","media","success"
9.9,5.33,101,2,83.51,12.9,"Beta","payments","baja","success"
24.74,8.97,109,2,79.18,8.42,"Alpha","database","crítica","rolled_back"
11.8,8.09,103,2,66.99,11.47,"Delta","ui","alta","success"
10.23,6.75,123,3,82.96,3.19,"Delta","api","media","failed"
13.2,3.99,119,2,90.65,9.92,"Delta","ui","media","success"
5.73,6.32,125,3,84.28,13.06,"Beta","payments","crítica","success"
13.96,10.23,113,3,78.88,17.73,"Alpha","payments","baja","success"
11.62,9.19,130,1,68.4,3.95,"Alpha","auth","baja","success"
13.87,7.22,114,2,89.96,3.65,"Beta","auth","alta","success"
8.07,2.39,106,0,82.91,6.56,"Delta","database","media","success"
7.91,6.78,135,2,73.57,14.17,"Beta","ui","media","failed"
9.23,0.69,128,1,70.64,26.84,"Beta","payments","alta","success"
8.93,12.43,122,1,75.31,20.52,"Gamma","database","baja","success"
17.2,8.08,123,2,86.97,17.49,"Gamma","api","media","success"
18.32,11.15,115,0,72.88,9.72,"Beta","database","alta","success"
11.37,7.57,104,4,88.19,32.18,"Delta","ui","baja","rolled_back"
10.56,13.19,111,2,63.13,16.84,"Beta","payments","alta","success"
10.68,5.75,108,1,88.55,5.07,"Gamma","database","media","success"
12.28,10.09,127,1,77.02,11.11,"Beta","ui","media","success"
12.39,7.97,129,3,94.39,2.86,"Beta","ui","crítica","success"
13.16,9.82,118,3,83.31,12.86,"Gamma","api","alta","success"
9.01,4.69,131,1,85.59,15.91,"Delta","payments","media","success"
8.61,13.6,130,0,59.09,8.28,"Beta","payments","media","success"
16.79,8.76,124,2,75.49,15.69,"Alpha","api","media","rolled_back"
9.81,6.76,105,3,77.28,8.23,"Delta","ui","alta","success"
13.21,5.03,139,1,58.11,19.35,"Gamma","ui","media","success"
11.77,4.19,137,1,61.55,10.56,"Gamma","auth","media","success"
8.17,3.46,114,4,79.03,4.29,"Delta","auth","media","success"
14.36,3.71,102,4,63,3.56,"Alpha","payments","media","success"
12.69,8.1,111,1,70.14,3.17,"Beta","api","media","success"
17.6,10.8,122,1,86.66,7.19,"Delta","database","media","success"
12.47,8.88,127,4,87.38,7.76,"Beta","database","media","success"
10.67,3.17,125,2,73.23,5,"Delta","auth","baja","failed"
13.11,8.21,115,1,77.49,10.37,"Gamma","api","media","success"
7.26,11.75,101,1,88.82,3.62,"Delta","database","alta","success"
8.66,10.54,119,3,68.26,32.83,"Alpha","payments","crítica","success"
14.04,12.61,115,1,73.27,33.36,"Alpha","ui","alta","success"
10.67,9.05,109,3,92.78,17.76,"Alpha","ui","baja","success"
11.74,0.5,130,5,79.12,7.93,"Delta","payments","media","success"
11.54,9.61,128,1,61.19,4.6,"Delta","api","baja","rolled_back"
9.4,8.53,135,5,74.19,2.56,"Gamma","auth","alta","success"
3.93,3.7,129,2,59.88,10.59,"Alpha","ui","crítica","success"
13.4,7.67,150,0,69.31,15.36,"Delta","ui","media","failed"
15.05,6.32,114,2,62.71,16.28,"Alpha","payments","alta","success"
6.85,6.89,129,2,66.41,7.65,"Beta","auth","baja","rolled_back"
17.93,9.18,118,2,67.81,4.3,"Delta","api","baja","rolled_back"
13.54,6.52,136,3,72.26,10.03,"Alpha","database","alta","success"
17.37,6.37,132,3,98.33,13.6,"Alpha","payments","media","failed"
8.17,4.36,103,5,79.06,7.95,"Beta","api","baja","success"
12.67,8.43,139,3,56.7,10.77,"Delta","ui","media","success"
11.6,9.38,127,2,54.29,9.37,"Delta","ui","alta","success"
15.07,9.43,125,1,67.31,14.91,"Beta","auth","media","rolled_back"
9.7,10.97,113,4,96.25,21.77,"Gamma","database","baja","success"
11.96,2.09,116,3,98.03,3.5,"Gamma","ui","media","success"
4.89,8.08,125,3,66.62,9.99,"Gamma","auth","baja","success"
8.89,4.66,112,1,87.75,12.82,"Alpha","api","baja","success"
12.5,9.52,108,1,92.77,8.24,"Delta","payments","baja","rolled_back"
9.17,8.2,138,4,64.17,6.78,"Alpha","database","media","success"
11.83,5.33,129,2,56.17,3.13,"Gamma","database","media","rolled_back"
10.13,7.06,124,1,66.03,14.06,"Gamma","payments","baja","success"
14.43,11.51,108,1,69.33,1.04,"Gamma","ui","baja","success"
16.67,6.65,132,1,72.04,12.45,"Beta","ui","alta","success"
8.71,3.69,116,2,100,22.92,"Gamma","auth","alta","success"
10.77,10.72,117,0,78.02,10.77,"Delta","payments","media","failed"
17.76,10.92,128,2,79.83,5.97,"Gamma","ui","media","rolled_back"
3.2,6.48,103,1,76.68,6.54,"Alpha","payments","alta","success"
10.72,12.14,107,2,68.13,8.27,"Gamma","api","baja","success"
20.26,7.58,133,2,66.11,6.44,"Beta","auth","media","success"
20.77,4.81,100,4,95.98,23.4,"Alpha","ui","alta","rolled_back"
12.63,7.23,123,1,74.38,7.99,"Beta","api","alta","success"
8.55,8.64,121,1,82.54,10.24,"Alpha","api","media","success"
12.66,9.41,122,1,63.32,5.68,"Alpha","database","media","failed"
9.39,8.96,139,5,88.11,10.19,"Delta","database","media","failed"
17.81,11.09,119,1,71.76,11.97,"Gamma","database","media","failed"
8.77,8.58,130,3,80.77,0.69,"Beta","api","media","success"
13.49,9.29,113,1,76.4,8.81,"Alpha","ui","baja","success"
14.48,10.56,118,2,53.29,1.49,"Alpha","database","media","success"
8.97,7.58,113,2,93.57,5.5,"Delta","ui","crítica","success"
15.41,6.02,112,1,90.35,25.77,"Alpha","database","alta","success"
9.01,7.29,113,6,68.14,7.6,"Beta","database","alta","failed"
14.52,4.67,118,0,79.86,10.2,"Beta","database","baja","success"
16.39,8.12,129,2,65.39,4.51,"Alpha","database","alta","success"
8.05,9.26,110,0,88.02,20.84,"Delta","api","media","failed"
16.43,5.38,122,2,86.06,8.97,"Alpha","api","media","success"
10.04,5.83,130,2,50.56,13.84,"Delta","payments","alta","failed"
13.18,5.23,109,1,59.77,9.66,"Delta","auth","crítica","success"
12.81,7.9,134,1,67.74,6.38,"Alpha","database","baja","success"
10.29,11.54,104,1,78.96,16.26,"Beta","ui","crítica","failed"
13.07,6.42,131,0,63.8,15.96,"Alpha","auth","baja","success"
7.08,6.43,123,1,85.96,39.11,"Gamma","auth","alta","success"
11.46,7.94,110,4,76.53,5.93,"Alpha","auth","alta","success"
15.3,5.56,127,3,78.52,24.25,"Delta","api","media","success"
3.3,10.54,139,1,67.07,13.25,"Beta","ui","baja","success"
6.05,7.25,126,1,85.2,20.68,"Gamma","auth","crítica","success"
7.35,10.83,130,1,80.1,8.07,"Delta","auth","alta","success"
5.64,9.6,145,1,78.14,13.92,"Gamma","database","media","success"
13.68,9.99,125,1,76.41,7.25,"Gamma","database","media","success"
8.03,4.3,116,0,70.16,4.85,"Beta","database","baja","success"
3.34,3.8,113,3,63.33,9.11,"Alpha","api","media","success"
9.45,8.15,155,0,66.39,16.25,"Alpha","payments","media","success"
10.44,7.1,125,1,51.72,3.23,"Alpha","database","media","failed"
15.43,7.15,132,1,82.53,11.41,"Beta","api","crítica","rolled_back"
7.58,7.74,112,4,87.54,1.86,"Beta","database","crítica","success"
16.65,12,106,1,64.49,8.56,"Delta","api","media","rolled_back"
13.59,6.85,126,2,86.18,10.1,"Alpha","auth","media","success"
13.45,6.46,117,2,68.33,6.71,"Delta","ui","baja","success"
8.59,12.07,149,4,74.27,4.94,"Gamma","auth","media","success"
19.81,8.56,119,2,72.55,7.41,"Alpha","ui","media","success"
11.34,8.61,126,1,46.51,20.15,"Beta","payments","alta","success"
4.7,4.76,133,2,83.65,16.45,"Delta","api","alta","success"
11.18,9.87,125,1,76.56,15.23,"Beta","api","alta","success"
4.26,10.92,134,0,81.84,10.67,"Beta","ui","media","success"
10.76,9.79,109,0,100,9.26,"Delta","database","baja","rolled_back"
10.31,5.13,138,1,79.79,5.67,"Alpha","payments","media","failed"
14.73,11.63,108,1,100,1.54,"Gamma","database","media","success"
16.04,7.26,115,3,83.21,5.73,"Delta","auth","baja","success"
9.1,12.59,142,0,88.67,3.56,"Alpha","ui","baja","success"
15.22,9.16,123,3,67.72,21.38,"Alpha","api","media","success"
17.7,9.04,123,2,84.44,4.65,"Delta","auth","crítica","rolled_back"
8.86,13.02,135,1,69.43,10.92,"Gamma","api","baja","success"
9.39,11.02,132,1,70.29,16.25,"Beta","auth","media","success"
14.6,9.15,119,4,72.5,13.55,"Delta","api","media","success"
12.73,6.03,127,1,79.78,19.51,"Gamma","ui","media","success"
14.2,10.25,127,1,71.08,12.14,"Beta","auth","media","success"
17.62,9.92,127,0,70.4,4.44,"Gamma","payments","crítica","rolled_back"
13.55,6.72,119,3,94.07,14.73,"Gamma","api","baja","failed"
16.21,7.45,112,1,74.42,11.05,"Alpha","ui","crítica","success"
14.49,7.31,122,4,61.34,24.24,"Alpha","api","alta","success"
13.73,3.89,118,0,63.34,20.29,"Delta","ui","alta","success"
13.54,9.7,121,1,63.92,13.59,"Gamma","database","alta","success"
17.17,4.28,121,4,84.67,10.26,"Gamma","database","media","success"
7.99,8.86,104,2,80.86,8.9,"Beta","ui","media","success"
7.58,4.13,130,1,62.79,3.2,"Delta","ui","media","success"
14.37,10.39,143,1,73.35,6.55,"Beta","ui","alta","success"
11.52,10.06,133,1,77.19,14.38,"Alpha","ui","baja","success"
12.3,12.68,114,1,88.86,43.12,"Beta","database","baja","success"
14.97,5.04,133,2,100,14.96,"Beta","auth","alta","success"
15.01,10.39,111,4,89.15,12.16,"Beta","database","media","failed"
10.95,7.46,130,1,67.96,7.75,"Delta","payments","media","success"
10.75,8.54,117,1,75.35,5.77,"Gamma","payments","crítica","success"
12.29,6.96,136,2,52.76,9.63,"Beta","ui","media","success"
16.25,9.04,133,1,57.99,36.25,"Alpha","database","alta","success"
13.7,5.22,122,4,64.82,7.63,"Gamma","auth","media","success"
17.73,5.74,118,1,58.01,3.11,"Beta","api","crítica","success"
11.97,10.05,113,0,77.41,1.35,"Beta","payments","baja","success"
16.5,0.78,131,2,96.71,6.03,"Alpha","auth","baja","success"
15.53,7.32,103,2,73.14,10.33,"Gamma","ui","alta","success"
14.45,6.89,104,1,87.43,17.21,"Gamma","api","alta","success"
13.66,9.87,106,1,86.87,42.68,"Alpha","auth","media","success"
10.88,9.08,111,0,90.45,12.95,"Beta","auth","media","rolled_back"
11.56,4.61,132,2,64.4,5.15,"Delta","api","baja","success"
12.92,11.71,144,1,63.54,7.1,"Delta","database","baja","success"
12.2,10.64,107,2,98.02,19.89,"Delta","auth","baja","failed"
15.77,11.59,127,2,96.43,6.78,"Alpha","database","alta","success"
11.56,5.57,133,0,76.84,13.01,"Alpha","payments","alta","rolled_back"
11.72,12.76,142,1,79.59,14.55,"Beta","auth","media","success"
10.06,11.01,124,0,71.69,18.5,"Delta","database","media","success"
11.45,10.89,103,3,62.83,6.82,"Beta","ui","media","success"
11.72,4.97,119,1,87.42,12.91,"Beta","auth","baja","success"
2.75,7.83,129,2,60.14,2.28,"Gamma","api","media","success"
6.54,8.47,111,5,72.91,6.39,"Gamma","payments","alta","rolled_back"
11.71,4.58,117,1,61.6,8.71,"Gamma","ui","media","success"
10.94,7.5,115,1,87.71,10.71,"Gamma","ui","baja","success"
7.2,9.94,129,1,55.7,7.83,"Gamma","database","baja","success"
4.03,8.79,130,2,65.47,6.85,"Gamma","database","baja","success"
10.58,8.6,105,4,79.66,24.75,"Beta","ui","baja","success"
14.61,11.62,97,3,87.66,26.36,"Alpha","api","baja","success"
19.09,6.11,124,3,54.71,7.76,"Delta","payments","baja","success"
11.85,9.98,132,7,97.8,5.62,"Alpha","ui","alta","success"
17.97,10.67,112,2,94.27,12.07,"Gamma","api","alta","failed"
12.33,4.73,112,6,87.88,14.96,"Delta","auth","baja","success"
12.46,3.02,123,1,81.79,33.49,"Beta","payments","media","success"
13.3,10.4,144,4,73.86,20.84,"Beta","ui","alta","failed"
8.52,7.37,119,1,78.47,4.45,"Gamma","api","alta","success"
11.79,13.99,111,2,71.61,3.11,"Alpha","payments","alta","failed"
15.63,8.8,120,4,76.12,8.35,"Gamma","database","alta","success"
9,7.93,119,1,93.06,10.71,"Delta","payments","baja","success"
10.71,3.67,115,1,72.03,14.73,"Delta","api","alta","success"
7.41,5.98,113,2,69.75,23.97,"Delta","api","alta","success"
13.42,4.55,109,4,86.2,6,"Delta","database","alta","success"
13.7,15.12,147,3,60.97,4.66,"Alpha","payments","alta","success"
14.59,4.8,122,2,78.12,51.24,"Beta","database","baja","success"
7.12,9.55,112,4,87.93,14.71,"Delta","database","media","success"
12.43,11.35,108,2,85.85,25.96,"Beta","auth","media","success"
8.22,7.19,111,2,79.54,10.96,"Beta","payments","baja","failed"
12,8.36,137,1,80.51,11.1,"Delta","database","media","failed"
17.37,5.3,114,1,80.77,29.12,"Beta","payments","crítica","success"
9.99,7.99,127,3,81.41,11.38,"Beta","auth","crítica","success"
14.87,7.1,121,1,84.43,10.73,"Alpha","database","alta","success"
9,6.12,136,2,70.22,7.63,"Beta","database","media","failed"
10.09,9.49,102,1,48.41,6.53,"Beta","payments","media","success"
13.75,5.92,141,2,61.89,27.29,"Gamma","database","media","success"
9.28,4.14,124,7,78.5,3.19,"Beta","ui","baja","success"
5.19,10.06,114,3,75.29,4.46,"Alpha","payments","media","success"
17.06,8.5,123,3,99.26,27.22,"Gamma","database","baja","success"
13.44,3.94,110,3,64,6.52,"Beta","payments","media","success"
9.67,6.24,125,1,70.55,29.61,"Gamma","auth","alta","failed"
4.02,10.13,145,2,60.67,18.69,"Gamma","payments","crítica","success"
19.61,5.51,108,1,79.16,13.65,"Delta","payments","alta","success"
25.56,9.94,112,1,72.54,24.6,"Beta","payments","media","failed"
12.83,7.18,128,4,81.04,20.7,"Alpha","auth","media","success"
15.4,4.46,129,1,99.2,10.76,"Alpha","database","media","success"
16.9,9.18,134,1,73.87,13.14,"Delta","database","media","failed"
9.19,1.78,123,1,76.91,28.91,"Gamma","ui","media","success"
10.6,6.38,130,2,77.96,10.01,"Beta","ui","baja","success"
5.09,7.79,114,1,100,15.66,"Alpha","api","baja","success"
